haskell-hslua-module-system 1.0.1-37
haskell-hslua-module-text 1.0.1-37
haskell-hslua-module-version 1.0.1-38
haskell-hslua-objectorientation 2.2.0.1-1
haskell-hslua-packaging 2.2.0.1-2
haskell-hsyaml 0.2.1.1-12
haskell-http 4000.4.1-18
haskell-http-client 0.7.12-2
haskell-http-client-tls 0.3.6.1-35
haskell-http-types 0.12.3-251
haskell-indexed-traversable 0.1.2-2
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-32
haskell-ipynb 0.2-33
haskell-jira-wiki-markup 1.4.0-67
haskell-juicypixels 3.3.7-24
haskell-lexer 1.1-11
haskell-libyaml 0.1.2-235
haskell-lpeg 1.0.3-3
haskell-lua 2.2.1-4
haskell-lukko 0.1.1.3-109
haskell-memory 0.17.0-20
haskell-microlens 0.4.13.0-1
haskell-microlens-mtl 0.2.0.1-19
haskell-microlens-th 0.4.3.10-7
haskell-mime-types 0.1.0.9-14
haskell-mono-traversable 1.0.15.3-68
haskell-network 3.1.2.7-32
haskell-network-uri 2.6.4.1-89
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-open-browser 0.2.1.0-28
haskell-optparse-applicative 0.16.1.0-260
haskell-pandoc-lua-marshal 0.1.6-8
haskell-pandoc-types 1.22.2-29
haskell-pem 0.2.4-237
haskell-pretty-show 1.10-13
haskell-primitive 0.7.4.0-19
haskell-quickcheck 2.14.2-338
haskell-random 1.2.1.1-36
haskell-regex-base 0.94.0.2-2
haskell-regex-posix 0.96.0.1-3
haskell-regex-tdfa 1.3.1.5-1
haskell-resolv 0.1.2.0-155
haskell-resourcet 1.2.6-4
haskell-roman-numerals 0.5.1.5-30
haskell-safe 0.3.19-8
haskell-scientific 0.3.7.0-67
haskell-sha 1.6.4.4-19
haskell-skylighting 0.12.3.1-8
haskell-skylighting-core 0.12.3.1-8
haskell-socks 0.6.1-184
haskell-split 0.2.3.4-199
haskell-splitmix 0.1.0.4-84
haskell-streaming-commons 0.2.2.4-28
haskell-strict 0.4.0.1-125
haskell-syb 0.7.2.1-154
haskell-tagged 0.8.6.1-5
haskell-tagsoup 0.14.8-180
haskell-tar 0.5.1.1-126
haskell-temporary 1.3-438
haskell-texmath 0.12.5.1-6
haskell-text-conversions 0.3.1.1-14
haskell-text-icu 0.8.0.2-2
haskell-th-abstraction 0.4.4.0-1
haskell-th-compat 0.1.3-51
haskell-th-lift 0.8.2-12
haskell-th-lift-instances 0.1.19-41
haskell-these 1.1.1.1-152
haskell-time-compat 1.9.6.1-51
haskell-tls 1.6.0-6
haskell-transformers-compat 0.7.2-1
haskell-typed-process 0.2.10.1-7
haskell-unicode-collation 0.1.3.2-14
haskell-unicode-data 0.3.0-21
haskell-unicode-transforms 0.4.0.1-20
haskell-uniplate 1.6.13-139
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.19.1-23
haskell-utf8-string 1.0.2-104
haskell-utility-ht 0.0.16-80
haskell-uuid-types 1.0.5-71
haskell-vector 0.12.3.1-112
haskell-vector-algorithms 0.8.0.4-119
haskell-x509 1.7.7-10
haskell-x509-store 1.6.9-35
haskell-x509-system 1.6.7-38
haskell-x509-validation 1.6.12-40
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.1-126
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.8.0-42
haskell-zip-archive 0.4.2.1-24
haskell-zlib 0.6.3.0-14
haveged 1.9.18-1
hdf5-openmpi 1.12.2-3
hdparm 9.64-1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
hplip 1:3.22.6-1
htop 3.2.1-1
hunspell 1.7.0-4
hunspell-en_us 2020.12.07-4
hwdata 0.361-1
hwinfo 22.1-1
hwloc 2.8.0-1
hyphen 2.8.8-4
iana-etc 20220603-1
icoutils 0.32.3-3
icu 71.1-1
iftop 1.0pre4-4
ijs 0.35-4
illyria-wallpaper 1.4-1
imagemagick 7.1.0.45-1
imath 3.1.5-2
imlib2 1.9.1-1
inetutils 2.2-1
iniparser 4.1-4
inkscape 1.2.1-2
inxi 3.3.21.1-1
iproute2 5.19.0-1
iptables-nft 1:1.8.8-2
iputils 20211215-1
ipython 8.4.0-1
iso-codes 4.11.0-1
iw 5.19-1
jack2 1.9.21-1
jansson 2.14-2
jasper 3.0.6-1
jbig2dec 0.19-1
jemalloc 1:5.3.0-1
jfsutils 1.1.15-8
jq 1.6-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
jxrlib 0.2.4-1
kaccounts-integration 22.04.3-1
kaccounts-providers 22.04.3-1
kactivities 5.96.0-1
kactivities-stats 5.96.0-1
kactivitymanagerd 5.24.6-1
kamera 22.04.3-1
karchive 5.96.0-1
kauth 5.96.0-1
kbd 2.5.1-1
kbookmarks 5.96.0-1
kcalc 22.04.3-1
kcalendarcore 5.96.0-1
kcmutils 5.96.0-1
kcodecs 5.96.0-1
kcolorpicker 0.2.0-1
kcompletion 5.96.0-1
kconfig 5.96.0-1
kconfigwidgets 5.96.0-1
kcontacts 1:5.96.0-1
kcoreaddons 5.96.0-1
kcrash 5.96.0-1
kdbusaddons 5.96.0-1
kde-cli-tools 5.24.6-1
kde-gtk-config 5.24.6-1
kdeclarative 5.96.0-1
kdeconnect 22.04.3-1
kdecoration 5.24.6-1
kded 5.96.0-1
kdegraphics-mobipocket 22.04.3-1
kdegraphics-thumbnailers 22.04.3-1
kdelibs4support 5.96.0-1
kdenetwork-filesharing 22.04.3-1
kdenlive 22.04.3-1
kdeplasma-addons 5.24.6-1
kdesu 5.96.0-1
kdnssd 5.96.0-1
kdoctools 5.96.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
keditbookmarks 22.04.3-1
kemoticons 5.96.0-1
kernel-alive 0.5.1-1
keyutils 1.6.3-1
kfilemetadata 5.96.0-1
kfind 22.04.3-1
kgamma5 5.24.6-1
kglobalaccel 5.96.0-1
kguiaddons 5.96.0-1
khelpcenter 22.04.3-1
kholidays 1:5.96.0-1
khotkeys 5.24.6-1
khtml 5.96.0-1
ki18n 5.96.0-1
kiconthemes 5.96.0-1
kidletime 5.96.0-1
kimageannotator 0.6.0-1
kimageformats 5.96.0-1
kinfocenter 5.24.6-1
kinit 5.96.0-1
kio 5.96.0-1
kio-extras 22.04.3-1
kio-fuse 5.0.1-1
kio-gdrive 22.04.3-1
kirigami2 5.96.0-1
kitemmodels 5.96.0-1
kitemviews 5.96.0-1
kjobwidgets 5.96.0-1
kjs 5.96.0-1
kmenuedit 5.24.6-1
kmod 30-1
knewstuff 5.96.0-1
knotifications 5.96.0-1
knotifyconfig 5.96.0-1
konsole 22.04.3-1
kpackage 5.96.0-1
kparts 5.96.0-1
kpeople 5.96.0-1
kpeoplevcard 0.1+r38.32d50a9-1
kpmcore 22.04.3-1
kpty 5.96.0-1
kquickcharts 5.96.0-1
krb5 1.19.3-3
krunner 5.96.0-1
kscreen 5.24.6-1
kscreenlocker 5.24.6-1
kservice 5.96.0-1
ksshaskpass 5.24.6-1
ksysguard 5.22.0-1
ksystemlog 22.04.3-1
ksystemstats 5.24.6-1
ktexteditor 5.96.0-1
ktextwidgets 5.96.0-1
kunitconversion 5.96.0-1
kuserfeedback 1.2.0-1
kwallet 5.96.0-1
kwallet-pam 5.24.6-1
kwalletmanager 22.04.3-1
kwayland 5.96.0-1
kwayland-integration 5.24.6-1
kwayland-server 5.24.6-1
kwidgetsaddons 5.96.0-1
kwin 5.24.6-1
kwindowsystem 5.96.0-1
kwrited 5.24.6-1
kxmlgui 5.96.0-1
l-smash 2.14.5-2
lame 3.100-4
lapack 3.10.1-1
layer-shell-qt 5.24.6-1
lazygit 0.35-1
lcms2 2.13.1-1
ldb 2:2.5.2-2
ldns 1.8.1-1
lensfun 1:0.3.3-1
less 1:590-1
lib2geom 1.2-2
lib32-acl 2.3.1-1
lib32-alsa-lib 1.2.7.2-1
lib32-alsa-plugins 1.2.7.1-1
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-4
lib32-bzip2 1.0.8-2
lib32-curl 7.84.0-1
lib32-dbus 1.14.0-1
lib32-e2fsprogs 1.46.5-1
lib32-expat 2.4.8-1
lib32-faudio 22.08-1
lib32-flac 1.3.4-3
lib32-fontconfig 2:2.14.0-1
lib32-freeglut 3.2.2-2
lib32-freetype2 2.12.1-1
lib32-gcc-libs 12.1.1-4
lib32-gettext 0.21-1
lib32-glew 2.2.0-3
lib32-glib2 2.72.3-1
lib32-glibc 2.36-2
lib32-glu 9.0.2-3
lib32-harfbuzz 5.1.0-1
lib32-icu 71.1-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.19.3-2
lib32-lcms2 2.13.1-1
lib32-libasyncns 1:0.8+r3+g68cd5af-1
lib32-libcanberra 1:0.30+r2+gc0620e4-1
